location_of_centre,no_of_cooked_food_stalls,no_of_mkt_produce_stalls,name_of_centre,type_of_centre,no_of_stalls,owner,_id
Blk 502 West Coast Drive S(120502),0,40,Blk 502 West  Coast Drive,MK,40,HDB,64
Blk 503 West Coast Drive S(120503),80,0,Blk 503 West Coast Drive,HC,80,HDB,65
Blk 505 Jurong West Street 52 S(640505),60,130,Blk 505 Jurong West Street 52,MHC,190,HDB,66
Blk 50A Marine Terrace S(441050),24,87,Blk 50A Marine Terrace,MHC,111,HDB,67
Blk 51 Old Airport Road S(390051),168,54,Blk 51 Old Airport Road,MHC,222,HDB,68
Blk 511 Bedok North Street 3 S(460511),42,83,Blk 511 Bedok North Street 3,MHC,125,HDB,69
Blk 527 Ang Mo Kio Ave 10 S(560527),50,100,Blk 527 Ang Mo Kio Ave 10,MHC,150,HDB,70
Blk 538 Bedok North Street 3 S(460538),40,84,Blk 538 Bedok North Street 3,MHC,124,HDB,71
Blk 58 New Upper Changi Road S(461058),48,147,Blk 58 New Upper Changi Road,MHC,195,HDB,72
Blk 6 Tanjong Pagar Plaza S(081006),52,52,Blk 6 Tanjong Pagar Plaza,MHC,104,HDB,73
Blk 628 Ang Mo Kio Ave 4 S(560628),52,166,Blk 628 Ang Mo Kio Ave 4,MHC,218,HDB,74
Blk 630 Bedok Reservoir Road S(470630),36,75,Blk 630 Bedok Reservoir Road,MHC,111,HDB,75
Blk 69 Geylang Bahru S(330069),84,127,Blk 69 Geylang Bahru,MHC,211,HDB,76
Blk 7 Empress Road S(260007),40,68,Blk 7 Empress Road,MHC,108,HDB,77
Blk 724 Ang Mo Kio Ave 6 S(560724),45,78,Blk 724 Ang Mo Kio Ave 6,MHC,123,HDB,78
Blk 726 Clementi West Street 2 S(120726),60,135,Blk 726 Clementi West Street 2,MHC,195,HDB,79
Blk 74 Lorong 4 Toa Payoh S(310074),10,80,Blk 74 Toa Payoh Lorong 4,MHC,90,HDB,80
Blk 75 Lorong 5 Toa Payoh S(310075),36,0,Blk 75 Toa Payoh Lorong 5,HC,36,HDB,81
Blk 79 Redhill Lane S(150079),0,122,Blk 79 Redhill Lane,MK,122,HDB,82
Blk 79 Telok Blangah Drive S(100079),40,0,Blk 79 Telok Blangah Drive,HC,40,HDB,83
Blk 80 Circuit Road S(370080),16,43,Blk 80 Circuit Road,MHC,59,HDB,84
Blk 82 Telok Blangah Drive S(100082),0,64,Blk 82 Telok Blangah Drive,MK,64,HDB,85
