iter	RMSE
610	19321.20768
611	19306.74737
612	19286.11404
613	19257.65694
614	19246.03276
615	19222.27165
616	19219.33814
617	19201.57234
618	19179.85491
619	19169.039
620	19152.2277
621	19134.98389
622	19128.66635
623	19117.95277
624	19107.06818
625	19091.43058
626	19080.93172
627	19077.65176
628	19070.0287
629	19057.30478
630	19041.33463
631	19038.14766
632	19017.49742
633	19006.71214
634	18981.85191
635	18971.57166
636	18949.67197
637	18936.50887
638	18927.48586
639	18907.86662
640	18896.07463
641	18879.96613
642	18878.30143
643	18865.00082
644	18843.75695
645	18828.36107
646	18790.77776
647	18770.25455
648	18749.83978
649	18736.89533
650	18723.61283
651	18700.83999
652	18688.40653
653	18676.13748
654	18660.60521
655	18641.14422
656	18630.45928
657	18613.01933
658	18611.43343
659	18610.09193
660	18594.96669
661	18570.75136
662	18551.12655
663	18541.63536
664	18540.58917
665	18539.47959
666	18530.9462
667	18510.79561
668	18489.72675
669	18474.76483
670	18454.54832
671	18442.78012
672	18429.74223
673	18414.27514
674	18395.36874
675	18382.06314
676	18356.08135
677	18345.15193
678	18323.33343
679	18316.27317
680	18295.80242
681	18294.78783
682	18285.50454
683	18275.57345
684	18262.59306
685	18243.4305
686	18232.9737
687	18209.3682
688	18183.10384
689	18161.06468
690	18141.37588
691	18130.15049
692	18109.79206
693	18099.53944
694	18067.46709
695	18066.31903
696	18065.13903
697	18049.11998
698	18038.62828
699	18025.16787
700	18012.20252
701	18001.24999
702	17987.58852
703	17966.56879
704	17955.44887
705	17943.67019
706	17923.9204
707	17903.31462
708	17888.30034
709	17875.80178
710	17874.67314
711	17851.37302
712	17850.4754
713	17836.90353
714	17817.71004
715	17798.81255
716	17781.74628
717	17770.24657
718	17765.37012
719	17744.1797
720	17732.55534
721	17731.47419
722	17730.52489
723	17729.48002
724	17727.11416
725	17726.05567
726	17724.79764
727	17712.52384
728	17695.2951
729	17685.3498
730	17683.15478
731	17678.55024
732	17657.47674
733	17644.55092
734	17634.33851
735	17633.53035
736	17620.38273
737	17619.4064
738	17607.34717
739	17597.02053
740	17596.11788
741	17583.03631
742	17582.58738
743	17568.72408
744	17561.67817
745	17546.89229
746	17533.42756
747	17518.51359
748	17512.51441
749	17500.61863
750	17486.96593
751	17473.67843
752	17458.37426
753	17436.55948
754	17427.38453
755	17416.99338
756	17416.17882
757	17405.71387
758	17405.07981
759	17397.62214
760	17385.14646
761	17358.3869
762	17348.16128
763	17337.24366
764	17319.23335
765	17316.23279
766	17301.20942
767	17297.28327
768	17288.00389
769	17266.81969
770	17257.81178
771	17243.2768
772	17233.72424
773	17213.65679
774	17201.89703
775	17178.89362
776	17169.70453
777	17169.16358
778	17160.01549
779	17150.60258
780	17125.24209
781	17108.56954
782	17091.58677
783	17068.47587
784	17060.19859
785	17048.05141
786	17046.59432
787	17032.84725
788	17030.14742
789	17022.23552
790	17005.73662
791	16989.10915
792	16971.25072
793	16957.15557
794	16949.46542
795	16948.02993
796	16931.19704
797	16909.34291
798	16896.63776
799	16879.39752
800	16866.8956
801	16855.11964
802	16833.22234
803	16822.53648
804	16817.91374
805	16809.61111
806	16792.44237
807	16791.81882
808	16791.48615
809	16776.03282
810	16759.25597
811	16745.06734
812	16732.21201
813	16725.07996
814	16706.13457
815	16693.82445
816	16675.83049
817	16651.85966
818	16644.84394
819	16629.28354
820	16608.2745
821	16590.66066
822	16573.44263
823	16565.67235
824	16553.46075
825	16544.52922
826	16534.56229
827	16520.34229
828	16507.30485
829	16493.82276
830	16489.28601
831	16473.6204
832	16472.60568
833	16455.22311
834	16445.54227
835	16435.23195
836	16428.21058
837	16423.24047
838	16403.75788
839	16396.44576
840	16376.62253
841	16365.34299
842	16354.02704
843	16343.22496
844	16335.38738
845	16323.36315
846	16314.06408
847	16300.30014
848	16286.05509
849	16277.56659
850	16268.69486
851	16254.58636
852	16242.37383
853	16230.84996
854	16229.33262
855	16210.91053
856	16196.19081
857	16188.50289
858	16169.87593
859	16161.78915
860	16146.4772
861	16141.23799
862	16126.58815
863	16125.92857
864	16118.03452
865	16108.58202
866	16102.34718
867	16101.9907
868	16083.82594
869	16078.50685
870	16077.91532
871	16068.52333
872	16056.65918
873	16044.95206
874	16035.93437
875	16031.2628
876	16015.83483
877	16015.36651
878	16002.34718
879	15998.06388
880	15979.842
881	15971.35208
882	15956.43413
883	15939.4748
884	15931.60989
885	15924.51725
886	15906.37648
887	15894.69431
888	15877.79033
889	15869.88168
890	15866.63381
891	15861.04623
892	15849.30455
893	15838.40404
894	15828.6007
895	15816.9624
896	15791.24284
897	15777.36947
898	15762.95709
899	15748.64467
900	15738.45238
901	15729.39719
902	15719.66683
903	15716.85928
904	15710.84041
905	15695.85611
906	15681.37283
907	15675.41125
908	15663.03657
909	15654.21057
910	15644.31752
911	15634.03892
912	15624.27735
913	15606.1543
914	15592.62186
915	15577.10541
916	15565.79665
917	15565.22908
918	15560.64992
919	15554.46266
920	15540.46842
921	15527.81746
922	15518.97207
923	15518.27333
924	15502.92822
925	15491.54095
926	15491.02053
927	15478.64949
928	15473.90208
929	15460.99615
930	15448.34059
931	15443.05538
932	15435.57226
933	15427.16459
934	15420.97595
935	15406.60867
936	15406.1713
937	15402.64082
938	15389.58179
939	15389.06933
940	15379.13546
941	15359.24814
942	15347.75555
943	15333.20693
944	15319.90918
945	15304.3108
946	15289.58232
947	15274.87891
948	15260.68685
949	15252.11201
950	15243.17486
951	15239.76106
952	15226.56929
953	15219.28952
954	15205.07974
955	15190.3446
956	15176.13648
957	15166.05817
958	15165.50949
959	15159.4964
960	15151.5205
961	15136.23897
962	15126.19862
963	15119.30715
964	15104.91812
965	15094.82908
966	15078.29406
967	15077.81282
968	15058.13511
969	15057.79435
970	15053.24248
971	15042.12403
972	15026.46388
973	15021.11626
974	15008.83001
975	14995.94478
976	14984.34623
977	14975.20095
978	14974.73308
979	14963.5169
980	14954.82639
981	14935.76937
982	14928.71468
983	14918.74406
984	14918.35396
985	14910.30796
986	14893.70516
987	14886.95799
988	14873.36324
989	14863.25206
990	14847.95715
991	14837.0502
992	14827.57033
993	14816.95296
994	14805.82387
995	14801.20572
996	14784.24023
997	14772.31291
998	14767.54426
999	14749.54071
