storey,floor area (sqm),flat model,remaining lease (yr),resale price ($),resale registration date,area,lat,lng
23,69,Model A,91.5,625000,Dec-20,Bukit Merah,1.2892981,103.8292566
17,65,Improved,53.08,295000,Dec-20,Bukit Merah,1.2901396,103.8225544
17,65,Improved,60.92,389000,Nov-20,Bukit Merah,1.2915032,103.8272188
17,65,Improved,53.25,300000,Nov-20,Bukit Merah,1.2782254,103.8185015
17,65,Improved,50.83,356000,Oct-21,Bukit Merah,1.2826858,103.8233525
26,60,Model A,80.33,570000,Oct-21,Bukit Merah,1.2744703,103.8400805
17,65,Improved,52.42,330000,Oct-21,Bukit Merah,1.2901396,103.8225544
17,60,Standard,44.75,262888,Oct-21,Bukit Merah,1.2864086,103.8098066
36,62,Model A,90.42,630000,Oct-21,Bukit Merah,1.2822322,103.8293203
36,62,Model A,90.42,625000,Oct-21,Bukit Merah,1.282039,103.8296416
26,62,Model A,90.42,610000,Oct-21,Bukit Merah,1.281516,103.830022
35,68,Premium Apartment,90.92,658000,Oct-21,Bukit Merah,1.2734894,103.8072667
17,65,Improved,50.92,350000,Sep-21,Bukit Merah,1.2826858,103.8233525
17,76,Improved,50.92,410000,Sep-21,Bukit Merah,1.2836829,103.8240354
20,68,Model A,96.75,668000,Sep-21,Bukit Merah,1.288026,103.8212865
20,60,Model A,86.42,550000,Sep-21,Bukit Merah,1.2827261,103.824674
20,68,Model A,94.75,625000,Sep-21,Bukit Merah,1.2764241,103.8111733
20,68,Model A,94.67,640000,Sep-21,Bukit Merah,1.2764241,103.8111733
23,68,Model A,94.75,635000,Sep-21,Bukit Merah,1.2765156,103.8106617
17,65,Improved,60.5,363000,Aug-21,Bukit Merah,1.2835678,103.8208789
17,65,Improved,51,380000,Aug-21,Bukit Merah,1.2836829,103.8240354
20,69,Model A,90.83,660000,Aug-21,Bukit Merah,1.2901637,103.8281018
20,68,Model A,96.83,670000,Aug-21,Bukit Merah,1.2872983,103.82199
17,60,Model A,86.42,580000,Aug-21,Bukit Merah,1.2830701,103.8260692
35,68,Premium Apartment,91.08,680000,Aug-21,Bukit Merah,1.2734894,103.8072667
23,62,Model A,93.5,688000,Jul-21,Bukit Merah,1.2865016,103.8291887
