MRT,lat,lng
Choa Chu Kang West MRT,1.3790999,103.7400148
Tengah MRT,1.35235,103.73679
Hong Kah MRT,1.3587602,103.7225462
Corporation MRT,1.3530338,103.7139728
Jurong West MRT,1.3384284,103.7059287
Bahar Junction MRT,1.3462262,103.7034163
Gek Poh MRT,1.3484855,103.6975389
Tawas MRT,1.3505806,103.6926689
Tengah Plantation MRT,1.35731,103.73342
Tengah Park MRT,1.35235,103.73679
Bukit Batok West MRT,1.349061,103.7495977
Toh Guan MRT,1.3332111,103.7422572
Jurong Town Hall MRT,1.3262765,103.7459618
Pandan Reservoir MRT,1.3154014,103.7433983
Enterprise MRT,1.3472592,103.7115408
Tukang MRT,1.3254225,103.7091623
Jurong Hill MRT,1.3187841,103.7102663
Jurong Pier MRT,1.3130726,103.7103683
Nanyang Gateway MRT,1.3480823,103.6803486
Nanyang Crescent MRT,1.3480823,103.6803486
Peng Kang Hill MRT,1.3430056,103.6786396
Aviation Park MRT,1.3697629,104.0044268
Loyang MRT,1.3715149,103.9716598
Pasir Ris East MRT,1.3732127,103.949277
Tampines North MRT,1.3533166,103.945221
Defu MRT,1.3621597,103.8974673
Serangoon North MRT,1.3499214,103.8734606
Tavistock MRT,1.3690069,103.8572654
Teck Ghee MRT,1.3647241,103.8427446
