block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
209C,PUNGGOL PL,10 TO 12,67,Model A,2014,9.42,369000,2018-09,0.0573088,3 ROOM
208C,PUNGGOL PL,04 TO 06,67,Model A,2014,9.33,310000,2018-10,0.0573088,3 ROOM
604C,PUNGGOL RD,01 TO 03,68,Model A,2012,9.17,310000,2018-10,0.0573088,3 ROOM
602B,PUNGGOL CTRL,04 TO 06,70,Model A,2012,9.17,315000,2018-10,0.0573088,3 ROOM
208A,PUNGGOL PL,01 TO 03,67,Model A,2014,9.33,320000,2018-10,0.0573088,3 ROOM
622A,PUNGGOL CTRL,01 TO 03,69,Model A,2014,9.33,321000,2018-10,0.0573088,3 ROOM
209C,PUNGGOL PL,04 TO 06,67,Model A,2014,9.42,330000,2018-10,0.0573088,3 ROOM
622B,PUNGGOL CTRL,04 TO 06,69,Model A,2014,9.33,333000,2018-10,0.0573088,3 ROOM
601D,PUNGGOL CTRL,07 TO 09,70,Model A,2012,9.17,342000,2018-10,0.0573088,3 ROOM
623A,PUNGGOL CTRL,07 TO 09,69,Model A,2014,9.33,343000,2018-10,0.0573088,3 ROOM
210C,PUNGGOL PL,13 TO 15,67,Model A,2014,9.42,348000,2018-10,0.0573088,3 ROOM
211A,PUNGGOL WALK,10 TO 12,67,Model A,2014,9.33,360888,2018-10,0.0573088,3 ROOM
208C,PUNGGOL PL,13 TO 15,67,Model A,2014,9.33,365000,2018-10,0.0573088,3 ROOM
211D,PUNGGOL WALK,10 TO 12,67,Model A,2014,9.33,365000,2018-10,0.0573088,3 ROOM
212B,PUNGGOL WALK,13 TO 15,67,Model A,2015,9.42,368000,2018-10,0.0573088,3 ROOM
211D,PUNGGOL WALK,13 TO 15,67,Model A,2014,9.33,369000,2018-10,0.0573088,3 ROOM
212B,PUNGGOL WALK,01 TO 03,67,Model A,2015,9.42,320000,2018-11,0.0573088,3 ROOM
306B,PUNGGOL PL,04 TO 06,67,Premium Apartment,2012,9.17,325000,2018-11,0.0573088,3 ROOM
212B,PUNGGOL WALK,07 TO 09,67,Model A,2015,9.42,340000,2018-11,0.0573088,3 ROOM
208A,PUNGGOL PL,04 TO 06,67,Model A,2014,9.33,342000,2018-11,0.0573088,3 ROOM
209A,PUNGGOL PL,07 TO 09,67,Model A,2014,9.42,345000,2018-11,0.0573088,3 ROOM
210B,PUNGGOL PL,10 TO 12,67,Model A,2014,9.42,370000,2018-11,0.0573088,3 ROOM
209B,PUNGGOL PL,07 TO 09,67,Model A,2014,9.42,380000,2018-11,0.0573088,3 ROOM
209B,PUNGGOL PL,07 TO 09,67,Model A,2014,9.42,360000,2018-12,0.0573088,3 ROOM
601C,PUNGGOL CTRL,10 TO 12,70,Model A,2012,9.17,344000,2018-12,0.0573088,3 ROOM
208A,PUNGGOL PL,04 TO 06,67,Model A,2014,9.33,360000,2018-12,0.0573088,3 ROOM
208B,PUNGGOL PL,01 TO 03,67,Model A,2014,9.33,338000,2018-12,0.0573088,3 ROOM
210C,PUNGGOL PL,13 TO 15,67,Model A,2014,9.42,348000,2018-12,0.0573088,3 ROOM
305B,PUNGGOL RD,10 TO 12,69,Premium Apartment,2012,9.17,360000,2018-12,0.0573088,3 ROOM
211D,PUNGGOL WALK,13 TO 15,67,Model A,2014,9.33,375000,2018-12,0.0573088,3 ROOM
212B,PUNGGOL WALK,04 TO 06,67,Model A,2015,9.42,330000,2018-12,0.0573088,3 ROOM
212A,PUNGGOL WALK,04 TO 06,67,Model A,2015,9.42,315000,2018-12,0.0573088,3 ROOM
212B,PUNGGOL WALK,07 TO 09,67,Model A,2015,9.42,343000,2018-12,0.0573088,3 ROOM
601A,PUNGGOL CTRL,10 TO 12,70,Model A,2012,9.17,320000,2019-01,0.0573088,3 ROOM
622A,PUNGGOL CTRL,10 TO 12,69,Model A,2014,9.33,330000,2019-01,0.0573088,3 ROOM
266C,PUNGGOL WAY,01 TO 03,67,Model A,2015,9.42,341000,2019-01,0.0573088,3 ROOM
208A,PUNGGOL PL,04 TO 06,67,Model A,2014,9.33,343888,2019-01,0.0573088,3 ROOM
622A,PUNGGOL CTRL,16 TO 18,69,Model A,2014,9.33,355000,2019-01,0.0573088,3 ROOM
210B,PUNGGOL PL,10 TO 12,67,Model A,2014,9.42,365000,2019-01,0.0573088,3 ROOM
624C,PUNGGOL CTRL,16 TO 18,69,Model A,2014,9.33,368888,2019-01,0.0573088,3 ROOM
288B,PUNGGOL PL,07 TO 09,70,Premium Apartment,2013,9.25,370000,2019-01,0.0573088,3 ROOM
289B,PUNGGOL PL,07 TO 09,70,Premium Apartment,2013,9.25,370000,2019-01,0.0573088,3 ROOM
289B,PUNGGOL PL,16 TO 18,70,Premium Apartment,2013,9.25,390000,2019-01,0.0573088,3 ROOM
212B,PUNGGOL WALK,10 TO 12,67,Model A,2015,9.42,338000,2019-02,0.0573088,3 ROOM
210B,PUNGGOL PL,01 TO 03,67,Model A,2014,9.33,340000,2019-02,0.0573088,3 ROOM
613B,PUNGGOL DR,13 TO 15,68,Model A,2012,9.17,353000,2019-02,0.0573088,3 ROOM
208B,PUNGGOL PL,10 TO 12,67,Model A,2014,9.33,370000,2019-02,0.0573088,3 ROOM
288C,PUNGGOL PL,04 TO 06,72,Premium Apartment,2013,9.25,372000,2019-02,0.0573088,3 ROOM
211D,PUNGGOL WALK,07 TO 09,67,Model A,2014,9.33,372000,2019-02,0.0573088,3 ROOM
209B,PUNGGOL PL,07 TO 09,67,Model A,2014,9.33,333000,2019-03,0.0573088,3 ROOM
623A,PUNGGOL CTRL,07 TO 09,69,Model A,2014,9.33,335000,2019-03,0.0573088,3 ROOM
602C,PUNGGOL CTRL,07 TO 09,70,Model A,2012,9.17,340000,2019-03,0.0573088,3 ROOM
